user_id,id_student,code_module,code_presentation,final_result,gender,age,ufv_field,ufv_course_code,ufv_course_name,ufv_level,highest_education,imd_band,num_of_prev_attempts,studied_credits,disability
user1538,531027,GGG,2014J,Pass,F,29,Media and Communications,media210,media210 - Media Ethics,Medium,A Level or Equivalent,0-10%,0,30,N
user4085,598914,DDD,2013B,Withdrawn,F,23,Media and Communications,media240,media240 - Podcasting,Medium,A Level or Equivalent,50-60%,1,180,N
user8569,264285,DDD,2014J,Fail,F,19,Computer science,comp285,comp285 - Cloud Computing,Medium,A Level or Equivalent,,0,60,N
user2495,52797,BBB,2013J,Distinction,F,22,Creative Arts and Design,arts285,arts285 - Game Art,Medium,Lower Than A Level,30-40%,1,60,N
user2204,558146,FFF,2013B,Pass,F,19,Business and Management,bus260,bus260 - Project Management,Medium,A Level or Equivalent,80-90%,1,120,N
user4744,244064,BBB,2014B,Pass,F,30,History and Culture,hist320,hist320 - World History,Senior,A Level or Equivalent,30-40%,0,60,N
user0195,401869,EEE,2014J,Pass,F,24,Computer science,comp340,comp340 - Data Structures,Senior,A Level or Equivalent,40-50%,2,90,N
user7632,679059,BBB,2014J,Withdrawn,F,26,Computer science,comp360,comp360 - Algorithms,Senior,A Level or Equivalent,60-70%,0,60,N
user6904,619935,BBB,2014J,Distinction,F,25,Business and Management,bus360,bus360 - Marketing Basics,Senior,HE Qualification,60-70%,0,120,N
user8738,406265,GGG,2013J,Fail,F,27,Media and Communications,media240,media240 - Podcasting,Medium,Lower Than A Level,20-30%,0,30,N
user5829,629044,FFF,2014B,Pass,F,28,Business and Management,bus275,bus275 - Supply Chain,Medium,A Level or Equivalent,10-20,0,90,Y
user7118,646075,BBB,2014J,Withdrawn,F,19,Business and Management,bus300,bus300 - HR Management,Senior,HE Qualification,30-40%,0,120,N
user3052,512977,FFF,2013B,Fail,F,20,Media and Communications,media125,media125 - Public Speaking,Beginner,A Level or Equivalent,20-30%,0,160,N
user1757,542663,FFF,2013B,Pass,M,18,Computer science,comp175,comp175 - Computer Networks,Beginner,A Level or Equivalent,90-100%,0,60,N
user3057,514074,FFF,2013B,Pass,F,19,Media and Communications,media260,media260 - Media Production,Medium,A Level or Equivalent,30-40%,0,60,N
user1548,531689,GGG,2014J,Pass,F,19,Business and Management,bus360,bus360 - Marketing Basics,Senior,Lower Than A Level,30-40%,0,30,N
user5437,614745,BBB,2014B,Pass,F,19,Creative Arts and Design,arts105,arts105 - Design Fundamentals,Beginner,A Level or Equivalent,70-80%,0,60,N
user7175,648063,DDD,2014B,Distinction,F,29,Media and Communications,media155,media155 - Social Media,Beginner,Lower Than A Level,70-80%,0,60,N
user3641,581235,BBB,2014J,Pass,F,20,History and Culture,hist300,hist300 - Global Migrations,Senior,Lower Than A Level,90-100%,1,60,N
user7134,646580,BBB,2014J,Pass,F,18,Business and Management,bus340,bus340 - Financial Accounting,Senior,A Level or Equivalent,50-60%,0,60,N
user0879,291037,GGG,2014B,Distinction,F,18,Creative Arts and Design,arts155,arts155 - Color Theory,Beginner,A Level or Equivalent,90-100%,0,30,Y
user6104,2153200,FFF,2014B,Pass,F,18,Creative Arts and Design,arts155,arts155 - Color Theory,Beginner,A Level or Equivalent,50-60%,0,60,N
user4466,614148,DDD,2013B,Pass,F,18,Computer science,comp300,comp300 - Data Mining,Senior,Lower Than A Level,30-40%,0,60,N
user2806,409160,FFF,2013B,Pass,F,25,Business and Management,bus285,bus285 - Business Law,Medium,HE Qualification,70-80%,0,60,N
user1979,550867,CCC,2014J,Pass,F,25,Media and Communications,media115,media115 - Media Writing,Beginner,Lower Than A Level,80-90%,0,60,N
user2222,558703,BBB,2013B,Fail,F,22,Computer science,comp155,comp155 - Operating Systems,Beginner,A Level or Equivalent,40-50%,0,60,N
user4227,604204,DDD,2013B,Pass,F,20,History and Culture,hist285,hist285 - Medieval Worlds,Medium,A Level or Equivalent,10-20,0,60,N
user2685,315105,DDD,2014B,Distinction,F,19,Computer science,comp340,comp340 - Data Structures,Senior,Lower Than A Level,,0,60,N
user2626,266564,EEE,2014B,Distinction,F,23,History and Culture,hist275,hist275 - Ancient Civilizations,Medium,Lower Than A Level,0-10%,0,30,N
user0918,331354,BBB,2013B,Pass,F,18,Computer science,comp340,comp340 - Data Structures,Senior,A Level or Equivalent,20-30%,0,60,N
